,Music-Name : ,Album-Name : ,Artist-Name : ,file-urls : 
0,Tetra,Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/01. Tetra.mp3
1,Light Of Day,Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/02. Light Of Day.mp3
2,New Worlds,Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/03. New Worlds.mp3
3,Flight To Glory,Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/04. Flight To Glory.mp3
4,Storm Chaser,Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/05. Storm Chaser.mp3
5,Overlord,Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/06. Overlord.mp3
6,Apophis,Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/07. Apophis.mp3
7,Dark Skies,Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/08. Dark Skies.mp3
8,Nucleus,Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/09. Nucleus.mp3
9,Tomfoolery,Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/10. Tomfoolery.mp3
10,Tetra (No Choir),Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/11. Tetra (No Choir).mp3
11,Light Of Day (No Choir),Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/12. Light Of Day (No Choir).mp3
12,New Worlds (No Choir),Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/13. New Worlds (No Choir).mp3
13,Flight To Glory (No Choir),Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/14. Flight To Glory (No Choir).mp3
14,Storm Chaser (No Choir),Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/15. Storm Chaser (No Choir).mp3
15,Apophis (No Choir),Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/16. Apophis (No Choir).mp3
16,Dark Skies (No Choir),Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/17. Dark Skies (No Choir).mp3
17,Tomfoolery (No Choir),Tetra,Fight Or Flight,https://dl5.songsara.net/FRE/8/Fight Or Flight - Tetra (2022) SONGSARA.NET/18. Tomfoolery (No Choir).mp3
